ingredients,meal,category
"water,sugar,teabag",black_tea,breakfast
"water,honey,lemon",lemon_tea,breakfast
"water,sugar,lemon",lemon_tea,breakfast
"water,honey,teabag",black_tea,breakfast
"water,sugar,teabags,milk",African_tea,breakfast
"water,honey,ginger,lemon",spice_tea,breakfast
"water,coffee,sugar",coffee,breakfast
"water,milk,sugar,coffee",coffee,breakfast
"water,sugar,teabags,milk,bread",African_tea,breakfast
"water,honey,ginger,lemon,bread",spice_tea,breakfast
"water,coffee,sugar,bread",coffee,breakfast
"water,milk,sugar,coffee,bread",coffee,breakfast
"water,sugar,teabags,milk,bread,banana",African_tea,breakfast
"water,honey,ginger,lemon,bread,banana",spice_tea,breakfast
"water,coffee,sugar,bread,banana",coffee,breakfast
"water,milk,sugar,coffee,bread,banana",coffee,breakfast
"water,sugar,teabags,milk,bread,apple",African_tea,breakfast
"water,honey,ginger,lemon,bread,apple",spice_tea,breakfast
"water,coffee,sugar,bread,apple",coffee,breakfast
"water,milk,sugar,coffee,bread,apple",coffee,breakfast
"water,sugar,teabags,milk,bread,eggs",African_tea,breakfast
"water,honey,ginger,lemon,bread,eggs",spice_tea,breakfast
"water,coffee,sugar,bread,eggs",coffee,breakfast
"water,milk,sugar,coffee,bread,eggs",coffee,breakfast
"banana,peas",banana_mix,Lunch
"banana,beans",banana_mix,Lunch
"Irishpotatoes,peas",potato_mix,Lunch
"Irishpotatoes,beans",potato_mix,Lunch
"Cassava,beans",Cassava_mix,Lunch
"banana,peanutflour",banana_mix,Lunch
"rice,beans",rice_mix,Lunch
"rice,peas",rice_mix,Lunch
"sweetpotatoes,beans",sweetpotatoes_mix,Lunch
"sweetpotatoes,peas",sweetpotatoes_mix,Lunch
"rice,peanutflour,tomatoes,onions,oil",rice_mix,Dinner
"banana,peas,tomatoes,onions,oil",banana_mix,Dinner
"banana,beans,tomatoes,onions,oil",banana_mix,Dinner
"Irishpotatoes,peas,tomatoes,onions,oil",potato_mix,Dinner
"Irishpotatoes,beans,tomatoes,onions,oil",potato_mix,Dinner
"Cassava,beans,tomatoes,onions,oil",Cassava_mix,Dinner
"banana,peanutflour,tomatoes,onions,oil",banana_mix,Dinner
"rice,beans,tomatoes,onions,oil",rice_mix,Dinner
"rice,peas,tomatoes,onions,oil",rice_mix,Dinner
"sweetpotatoes,beans,tomatoes,onions,oil",sweetpotatoes_mix,Lunch
"sweetpotatoes,peas,tomatoes,onions,oil",sweetpotatoes_mix,Lunch
"cassavaflour,beans",Ugali_mix,Dinner
"cassavaflour,peanutflour",Ugali_mix,Dinner
"cassavaflour,chicken",Ugali_mix,Dinner
"cassavaflour,beef",Ugali_mix,Lunch
"cassavaflour,cassavaleaves",Ugali_mix,Lunch
"rice,chicken",rice_mix,Dinner
"rice,beef",rice_mix,Dinner
"Irishpotatoes,oil,rice,beef",rice_mix,Dinner
"Irishpotatoes,oil,rice,chicken",rice_mix,Dinner
"Irishpotatoes,oil,rice,beef",rice_mix,Dinner
"Irishpotatoes,oil,rice,chicken",potato_mix,Dinner
"beef,rice,pillau massala,oil",rice_mix,Lunch
